word_index	level	word	pinyin	part_of_speech	pinyin_numbered	pinyin_cc-cedict	traditional_cc-cedict	definition_cc-cedict
2993	5	升级	shēngjí	动	sheng1 ji2	sheng1 ji2	升級	to go up by one grade; to be promoted/to escalate (in intensity)/(computing) to upgrade
2994	5	升温	shēngwēn	动	sheng1 wen1	sheng1 wen1	升溫	to become hot/temperature rise/(fig.) to intensify/to hot up/to escalate/to get a boost
2995	5	生物	shēngwù	名	sheng1 wu4	sheng1 wu4	生物	organism/living creature/life form/biological/CL:個|个[ge4]
2996	5	生肖	shēngxiào	名	sheng1 xiao4	sheng1 xiao4	生肖	one of the twelve animals symbolic of the earthly branches 地支[di4 zhi1]/animal from the Chinese zodiac
2997	5	生长	shēngzhǎng	动	sheng1 zhang3	sheng1 zhang3	生長	to grow/to grow up/to be brought up
2998	5	省2	shěng	动	sheng3	sheng3	省	to save; to economize; to be frugal/to omit; to delete; to leave out/province/provincial capital/a ministry (of the Japanese government)
2999	5	省份	shěngfèn	名	sheng3 fen4	sheng3 fen4	省份	province
3000	5	省会	shěnghuì	名	sheng3 hui4	sheng3 hui4	省會	provincial capital
3001	5	胜	shèng	动	sheng4	sheng4	勝	victory/success/to beat/to defeat/to surpass/victorious/superior to/to get the better of/better than/surpassing/superb (of vista)/beautiful (scenery)/wonderful (view)/(Taiwan pr. [sheng1]) able to bear/equal to (a task)
3002	5	胜利	shènglì	动	sheng4 li4	sheng4 li4	勝利	victory/CL:個|个[ge4]
3003	5	诗	shī	名	shi1	shi1	詩	abbr. for Shijing 詩經|诗经[Shi1 jing1], the Book of Songs/poem/CL:首[shou3]/poetry/verse
3004	5	湿	shī	形	shi1	shi1	溼/濕	moist/wet/variant of 濕|湿[shi1]
3005	5	失恋	shīliàn	动	shi1 lian4	shi1 lian4	失戀	to lose one's love/to break up (in a romantic relationship)/to feel jilted
3006	5	失眠	shīmián	动	shi1 mian2	shi1 mian2	失眠	to suffer from insomnia
3007	5	诗人	shīrén	名	shi1 ren2	shi1 ren2	詩人	bard/poet
3008	5	失误	shīwù	动、名	shi1 wu4	shi1 wu4	失誤	lapse/mistake/to make a mistake/fault/service fault (in volleyball, tennis etc)
3009	5	失业	shīyè	动	shi1 ye4	shi1 ye4	失業	unemployment/to lose one's job
3010	5	时差	shíchā	名	shi2 cha1	shi2 cha1	時差	time difference/time lag/jet lag
3011	5	时常	shícháng	副	shi2 chang2	shi2 chang2	時常	often; frequently
3012	5	时代	shídài	名	shi2 dai4	shi2 dai4	時代	Time, US weekly news magazine/age/era/epoch/period (in one's life)/CL:個|个[ge4]
3013	5	实践	shíjiàn	动	shi2 jian4	shi2 jian4	實踐	practice/to put into practice/to live up to (a promise)/to carry out (a project)
3014	5	时刻	shíkè	名、副	shi2 ke4	shi2 ke4	時刻	time/juncture/moment/period of time/CL:個|个[ge4],段[duan4]/constantly/always
3015	5	实力	shílì	名	shi2 li4	shi2 li4	實力	strength
3016	5	时期	shíqī	名	shi2 qi1	shi2 qi1	時期	period/phase/CL:個|个[ge4]
3017	5	实施	shíshī	动	shi2 shi1	shi2 shi1	實施	to implement/to carry out
3018	5	石头	shítou	名	shi2 tou5	shi2 tou5	石頭	stone/CL:塊|块[kuai4]
3019	5	实习	shíxí	动	shi2 xi2	shi2 xi2	實習	to practice/field work/to intern/internship
3020	5	实现	shíxiàn	动	shi2 xian4	shi2 xian4	實現	to achieve; to implement; to realize; to bring about
3021	5	实行	shíxíng	动	shi2 xing2	shi2 xing2	實行	to implement/to carry out/to put into practice
3022	5	实验	shíyàn	动、名	shi2 yan4	shi2 yan4	實驗	experiment/test/CL:個|个[ge4],次[ci4]/experimental/to experiment
3023	5	实验室	shíyànshì	名	shi2 yan4 shi4	shi2 yan4 shi4	實驗室	laboratory/CL:間|间[jian1]
3024	5	实用	shíyòng	形	shi2 yong4	shi2 yong4	實用	to apply in practice/practical; functional; pragmatic; applied (science)
3025	5	食用	shíyòng	动	shi2 yong4	shi2 yong4	食用	to eat; to consume/edible
3026	5	使得	shǐde	动	shi3 de5	shi3 de5	使得	usable; serviceable/feasible; workable; doable/to make; to cause; to bring about
3027	5	始终	shǐzhōng	名、副	shi3 zhong1	shi3 zhong1	始終	from beginning to end/all along
3028	5	式	shì	后缀	shi4	shi4	式	type/form/pattern/style
3029	5	适当	shìdàng	形	shi4 dang4	shi4 dang4	適當	suitable; appropriate
3030	5	似的	shìde	助	shi4 de5	shi4 de5	似的	seems as if/rather like/Taiwan pr. [si4 de5]
3031	5	事故	shìgù	名	shi4 gu4	shi4 gu4	事故	accident/CL:樁|桩[zhuang1],起[qi3],次[ci4]
3032	5	事件	shìjiàn	名	shi4 jian4	shi4 jian4	事件	incident; event
3033	5	试卷	shìjuàn	名	shi4 juan4	shi4 juan4	試卷	examination paper/test paper/CL:份[fen4],張|张[zhang1]
3034	5	市民	shìmín	名	shi4 min2	shi4 min2	市民	city resident
3035	5	事实	shìshí	名	shi4 shi2	shi4 shi2	事實	fact/CL:個|个[ge4]
3036	5	视为	shìwéi	动	shi4 wei2	shi4 wei2	視為	to view as/to see as/to consider to be/to deem
3037	5	事物	shìwù	名	shi4 wu4	shi4 wu4	事物	thing; object/CL:個|个[ge4]
3038	5	事先	shìxiān	名	shi4 xian1	shi4 xian1	事先	in advance/before the event/beforehand/prior
3039	5	试验	shìyàn	动	shi4 yan4	shi4 yan4	試驗	experiment/test/CL:次[ci4],個|个[ge4]/to experiment/experimental
3040	5	事业	shìyè	名	shi4 ye4	shi4 ye4	事業	undertaking/project/activity/(charitable, political or revolutionary) cause/publicly funded institution, enterprise or foundation/career/occupation/CL:個|个[ge4]
3041	5	试用	shìyòng	动	shi4 yong4	shi4 yong4	試用	to try sth out/to be on probation
3042	5	适用	shìyòng	形	shi4 yong4	shi4 yong4	適用	to be applicable
3043	5	收获	shōuhuò	动、名	shou1 huo4	shou1 huo4	收獲/收穫	to harvest/to reap/to gain/crop/harvest/profit/gain/bonus/reward/variant of 收穫|收获[shou1 huo4]
3044	5	收集	shōují	动	shou1 ji2	shou1 ji2	收集	to gather/to collect
3045	5	收看	shōukàn	动	shou1 kan4	shou1 kan4	收看	to watch (a TV program)
3046	5	守	shǒu	动	shou3	shou3	守	to guard/to defend/to keep watch/to abide by the law/to observe (rules or ritual)/nearby/adjoining
3047	5	首次	shǒucì	数量	shou3 ci4	shou3 ci4	首次	first/first time/for the first time
3048	5	手段	shǒuduàn	名	shou3 duan4	shou3 duan4	手段	method; way; means (of doing sth)/skill; ability/trick; wile
3049	5	手工	shǒugōng	名	shou3 gong1	shou3 gong1	手工	handwork/manual
3050	5	手术	shǒushù	名、动	shou3 shu4	shou3 shu4	手術	(surgical) operation/surgery/CL:個|个[ge4]
3051	5	手套	shǒutào	名	shou3 tao4	shou3 tao4	手套	glove/mitten/CL:雙|双[shuang1],隻|只[zhi1]
3052	5	手续	shǒuxù	名	shou3 xu4	shou3 xu4	手續	procedure/CL:道[dao4],個|个[ge4]/formalities
3053	5	手指	shǒuzhǐ	名	shou3 zhi3	shou3 zhi3	手指	finger/CL:個|个[ge4],隻|只[zhi1]
3054	5	售价	shòujià	名	shou4 jia4	shou4 jia4	售價	selling price
3055	5	蔬菜	shūcài	名	shu1 cai4	shu1 cai4	蔬菜	vegetables
3056	5	书法	shūfǎ	名	shu1 fa3	shu1 fa3	書法	calligraphy/handwriting/penmanship
3057	5	书房	shūfáng	名	shu1 fang2	shu1 fang2	書房	study (room)/studio/CL:間|间[jian1]
3058	5	书架	shūjià	名	shu1 jia4	shu1 jia4	書架	bookshelf/CL:個|个[ge4]
3059	5	输入	shūrù	动	shu1 ru4	shu1 ru4	輸入	to import/to input
3060	5	舒适	shūshì	形	shu1 shi4	shu1 shi4	舒適	cozy/snug
3061	5	熟练	shúliàn	形	shu2 lian4	shu2 lian4	熟練	practiced/proficient/skilled/skillful
3062	5	熟人	shúrén	名	shu2 ren2	shu2 ren2	熟人	acquaintance/friend
3063	5	数	shǔ	动	shu3	shu3	數	to count/to count as; to regard as/to enumerate; to list
3064	5	鼠标	shǔbiāo	名	shu3 biao1	shu3 biao1	鼠標	(computing) mouse
3065	5	属于	shǔyú	动	shu3 yu2	shu3 yu2	屬於	to belong to; to fall under (a category)
3066	5	束	shù	量	shu4	shu4	束	surname Shu/to bind/bunch/bundle/classifier for bunches, bundles, beams of light etc/to control
3067	5	数据	shùjù	名	shu4 ju4	shu4 ju4	數據	data
3068	5	树木	shùmù	名	shu4 mu4	shu4 mu4	樹木	tree
3069	5	摔	shuāi	动	shuai1	shuai1	摔	to throw down/to fall/to drop and break
3070	5	双方	shuāngfāng	名	shuang1 fang1	shuang1 fang1	雙方	bilateral/both sides/both parties involved
3071	5	水分	shuǐfèn	名	shui3 fen4	shui3 fen4	水分	moisture content/(fig.) overstatement/padding
3072	5	税	shuì	名	shui4	shui4	稅	taxes/duties
3073	5	睡眠	shuìmián	名	shui4 mian2	shui4 mian2	睡眠	sleep/to sleep/(computing) to enter sleep mode
3074	5	顺	shùn	动、介、形	shun4	shun4	順	to obey/to follow/to arrange/to make reasonable/along/favorable
3075	5	说不定	shuōbudìng	动、副	shuo1 bu5 ding4	shuo1 bu5 ding4	說不定	can't say for sure/maybe
3076	5	说服	shuōfú	动	shuo1 fu2	shuo1 fu2	說服	to persuade/to convince/to talk sb over/Taiwan pr. [shui4 fu2]
3077	5	思考	sīkǎo	动	si1 kao3	si1 kao3	思考	to reflect on/to ponder over
3078	5	私人	sīrén	名	si1 ren2	si1 ren2	私人	private/personal/interpersonal/sb with whom one has a close personal relationship/a member of one's clique
3079	5	思维	sīwéi	名、动	si1 wei2	si1 wei2	思維	(line of) thought/thinking
3080	5	思想	sīxiǎng	名	si1 xiang3	si1 xiang3	思想	thought/thinking/idea/ideology/CL:個|个[ge4]
3081	5	四处	sìchù	名	si4 chu4	si4 chu4	四處	all over the place/everywhere and all directions
3082	5	似乎	sìhū	副	si4 hu1	si4 hu1	似乎	it seems; seemingly; as if
3083	5	四周	sìzhōu	名	si4 zhou1	si4 zhou1	四周	all around
3084	5	搜	sōu	动	sou1	sou1	搜/蒐	(bound form) to collect; to gather/to search/variant of 蒐|搜[sou1]
3085	5	搜索	sōusuǒ	动	sou1 suo3	sou1 suo3	搜索	to search (a place, a database, online etc); to search for (sth)
3086	5	宿舍	sùshè	名	su4 she4	su4 she4	宿舍	dormitory/dorm room/living quarters/hostel/CL:間|间[jian1]
3087	5	酸甜苦辣	suān-tián-kǔ-là		suan1 tian2 ku3 la4	suan1 tian2 ku3 la4	酸甜苦辣	lit. sour, sweet, bitter and spicy (idiom)/fig. all kinds of flavors; the joys and sorrows of life
3088	5	随	suí	动	sui2	sui2	隨	surname Sui/to follow/to comply with/varying according to.../to allow/subsequently
3089	5	随后	suíhòu	副	sui2 hou4	sui2 hou4	隨後	soon after
3090	5	随时	suíshí	副	sui2 shi2	sui2 shi2	隨時	at any time; at all times/at the right time; whenever necessary
3091	5	随手	suíshǒu	副	sui2 shou3	sui2 shou3	隨手	conveniently/without extra trouble/while doing it/in passing
3092	5	随意	suíyì	形	sui2 yi4	sui2 yi4	隨意	as one wishes/according to one's wishes/at will/voluntary/conscious
3093	5	碎	suì	动、形	sui4	sui4	碎	(transitive or intransitive) to break into pieces; to shatter; to crumble/broken; fragmentary; scattered/garrulous
3094	5	损害	sǔnhài	动	sun3 hai4	sun3 hai4	損害	harm/to damage/to impair
3095	5	损失	sǔnshī	动、名	sun3 shi1	sun3 shi1	損失	loss/damage/CL:個|个[ge4]/to lose/to suffer damage
3096	5	缩短	suōduǎn	动	suo1 duan3	suo1 duan3	縮短	to shorten; to reduce; to curtail
3097	5	缩小	suōxiǎo	动	suo1 xiao3	suo1 xiao3	縮小	to reduce; to decrease; to shrink
3098	5	所1	suǒ	量、名	suo3	suo3	所	actually/place/classifier for houses, small buildings, institutions etc/that which/particle introducing a relative clause or passive/CL:個|个[ge4]
3099	5	锁	suǒ	名、动	suo3	suo3	鎖/鎻	old variant of 鎖|锁[suo3]/to lock; to lock up/a lock (CL:把[ba3])
3100	5	他人	tārén	代	ta1 ren2	ta1 ren2	他人	another person; sb else; other people
3101	5	台灯	táidēng	名	tai2 deng1	tai2 deng1	檯燈	desk lamp/table lamp
3102	5	台阶	táijiē	名	tai2 jie1	tai2 jie1	臺階	steps/flight of steps/step (over obstacle)/fig. way out of an embarrassing situation/bench (geology)
3103	5	太太	tàitai	名	tai4 tai5	tai4 tai5	太太	married woman/Mrs./Madam/wife/CL:個|个[ge4],位[wei4]
3104	5	谈话	tánhuà	动	tan2 hua4	tan2 hua4	談話	to talk (with sb)/to have a conversation/talk/conversation/CL:次[ci4]
3105	5	桃	táo	名	tao2	tao2	桃	peach
3106	5	套	tào	名、动、量	tao4	tao4	套	to cover/to encase/cover/sheath/to overlap/to interleave/to model after/to copy/formula/harness/loop of rope/(fig.) to fish for/to obtain slyly/classifier for sets, collections/bend (of a river or mountain range, in place names)/tau (Greek letter Ττ)
3107	5	特产	tèchǎn	名	te4 chan3	te4 chan3	特產	special local product/(regional) specialty
3108	5	特色	tèsè	名	te4 se4	te4 se4	特色	a characteristic; a distinctive feature or quality
3109	5	特殊	tèshū	形	te4 shu1	te4 shu1	特殊	special/particular/unusual/extraordinary
3110	5	特有	tèyǒu	形	te4 you3	te4 you3	特有	specific (to)/characteristic (of)/distinctive
3111	5	特征	tèzhēng	名	te4 zheng1	te4 zheng1	特徵	characteristic/diagnostic property/distinctive feature/trait
3112	5	疼痛	téngtòng	形	teng2 tong4	teng2 tong4	疼痛	pain/(of a body part) to be painful; to be sore; to hurt/(of a person) to be in pain
3113	5	提倡	tíchàng	动	ti2 chang4	ti2 chang4	提倡	to promote/to advocate
3114	5	提交	tíjiāo	动	ti2 jiao1	ti2 jiao1	提交	to submit (a report etc)/to refer (a problem) to sb
3115	5	题目	tímù	名	ti2 mu4	ti2 mu4	題目	subject; title; topic (CL:個|个[ge4])/exercise or exam question (CL:道[dao4])
3116	5	提起	tíqǐ	动	ti2 qi3	ti2 qi3	提起	to mention; to bring up/(lit. and fig.) to lift; to raise/to initiate (legal proceedings)
3117	5	提升	tíshēng	动	ti2 sheng1	ti2 sheng1	提升	to promote (to a higher-ranking position)/to lift; to hoist/(fig.) to elevate; to raise; to improve
3118	5	提问	tíwèn	动	ti2 wen4	ti2 wen4	提問	to question; to quiz; to grill
3119	5	体会	tǐhuì	动、名	ti3 hui4	ti3 hui4	體會	to know from experience/to learn through experience/to realize/understanding/experience
3120	5	体力	tǐlì	名	ti3 li4	ti3 li4	體力	physical strength/physical power
3121	5	体现	tǐxiàn	动	ti3 xian4	ti3 xian4	體現	to embody/to reflect/to incarnate
3122	5	体验	tǐyàn	动	ti3 yan4	ti3 yan4	體驗	to experience for oneself
3123	5	替	tì	动、介	ti4	ti4	替	to substitute for/to take the place of/to replace/for/on behalf of/to stand in for
3124	5	天空	tiānkōng	名	tian1 kong1	tian1 kong1	天空	sky
3125	5	天上	tiānshàng	名	tian1 shang4	tian1 shang4	天上	the sky; the heavens
3126	5	填	tián	动	tian2	tian2	填	to fill or stuff/(of a form etc) to fill in
3127	5	甜品	tiánpǐn	名	tian2 pin3	tian2 pin3	甜品	dessert
3128	5	挑	tiāo	动	tiao1	tiao1	挑	to carry on a shoulder pole/to choose/to pick/to nitpick
3129	5	挑选	tiāoxuǎn	动	tiao1 xuan3	tiao1 xuan3	挑選	to choose/to select
3130	5	调	tiáo	动	tiao2	tiao2	調	to harmonize/to reconcile/to blend/to suit well/to adjust/to regulate/to season (food)/to provoke/to incite
3131	5	调皮	tiáopí	形	tiao2 pi2	tiao2 pi2	調皮	naughty/mischievous/unruly
3132	5	调整	tiáozhěng	动	tiao2 zheng3	tiao2 zheng3	調整	to adjust/adjustment/revision/CL:個|个[ge4]
3133	5	挑战	tiǎozhàn	动、名	tiao3 zhan4	tiao3 zhan4	挑戰	to challenge; to take on a challenge; a challenge
3134	5	跳高	tiàogāo	动	tiao4 gao1	tiao4 gao1	跳高	(athletics) high jump
3135	5	跳远	tiàoyuǎn	动	tiao4 yuan3	tiao4 yuan3	跳遠	long jump (athletics)
3136	5	贴	tiē	动	tie1	tie1	貼	to stick/to paste/to post (e.g. on a blog)/to keep close to/to fit snugly/to subsidize/allowance (e.g. money for food or housing)/sticker/classifier for sticking plaster: strip
3137	5	铁路	tiělù	名	tie3 lu4	tie3 lu4	鐵路	railroad/railway/CL:條|条[tiao2]
3138	5	停留	tíngliú	动	ting2 liu2	ting2 liu2	停留	to stay somewhere temporarily/to stop over
3139	5	通常	tōngcháng	形、副	tong1 chang2	tong1 chang2	通常	regular; usual; normal/usually; normally
3140	5	通行	tōngxíng	动	tong1 xing2	tong1 xing2	通行	to go through; to pass through/to be in general use
3141	5	同	tóng	形、动、副、介、连	tong2	tong2	同	like/same/similar/together/alike/with
3142	5	同情	tóngqíng	动	tong2 qing2	tong2 qing2	同情	to sympathize with/sympathy
3143	5	同一	tóngyī	形	tong2 yi1	tong2 yi1	同一	identical; the same
3144	5	统计	tǒngjì	动	tong3 ji4	tong3 ji4	統計	statistics/to count/to add up
3145	5	统一	tǒngyī	动、形	tong3 yi1	tong3 yi1	統一	to unify; to integrate/unified; integrated
3146	5	痛苦	tòngkǔ	形	tong4 ku3	tong4 ku3	痛苦	pain/suffering/painful/CL:個|个[ge4]
3147	5	投	tóu	动	tou2	tou2	投	to throw (sth in a specific direction: ball, javelin, grenade etc)/to cast (a ballot)/to cast (a glance, a shadow etc)/to put in (money for investment, a coin to operate a slot machine)/to send (a letter, a manuscript etc)/to throw oneself into (a river, a well etc to commit suicide)/to go to; to seek refuge; to place oneself into the hands of/(coll.) to rinse (clothes) in water
3148	5	投入	tóurù	动、形、名	tou2 ru4	tou2 ru4	投入	to throw into/to put into/to throw oneself into/to participate in/to invest in/absorbed/engrossed
3149	5	头	tou	后缀	tou5	tou5	頭	suffix for nouns
3150	5	突出	tūchū	动、形	tu1 chu1	tu1 chu1	突出	prominent/outstanding/to give prominence to/to protrude/to project
3151	5	图画	túhuà	名	tu2 hua4	tu2 hua4	圖畫	drawing/picture
3152	5	图书	túshū	名	tu2 shu1	tu2 shu1	圖書	books (in a library or bookstore)/CL:本[ben3],冊|册[ce4],部[bu4]
3153	5	土地	tǔdì	名	tu3 di4	tu3 di4	土地	land/soil/territory/CL:片[pian4],塊|块[kuai4]
3154	5	土豆	tǔdòu	名	tu3 dou4	tu3 dou4	土豆	potato (CL:個|个[ge4])/(Tw) peanut (CL:顆|颗[ke1])
3155	5	兔子	tùzi	名	tu4 zi5	tu4 zi5	兔子	hare/rabbit/CL:隻|只[zhi1]
3156	5	团	tuán	动、名、量	tuan2	tuan2	團/糰	dumpling/round/lump/ball/to roll into a ball/to gather/regiment/group/society/classifier for a lump or a soft mass: wad (of paper), ball (of wool), cloud (of smoke)
3157	5	团队	tuánduì	名	tuan2 dui4	tuan2 dui4	團隊	team
3158	5	推动	tuīdòng	动	tui1 dong4	tui1 dong4	推動	to push (e.g. for acceptance of a plan); to promote; to give impetus to
3159	5	推广	tuīguǎng	动	tui1 guang3	tui1 guang3	推廣	to extend/to spread/to popularize/generalization/promotion (of a product etc)
3160	5	推荐	tuījiàn	动	tui1 jian4	tui1 jian4	推薦	to recommend/recommendation
3161	5	推进	tuījìn	动	tui1 jin4	tui1 jin4	推進	to impel/to carry forward/to push on/to advance/to drive forward
3162	5	退	tuì	动	tui4	tui4	退	to retreat; to withdraw/to reject; to return (sth)/to decline
3163	5	退出	tuìchū	动	tui4 chu1	tui4 chu1	退出	to withdraw/to abort/to quit/to log out (computing)
3164	5	退还	tuìhuán	动	tui4 huan2	tui4 huan2	退還	to return (sth borrowed etc); to send back; to refund; to rebate
3165	5	退休	tuìxiū	动	tui4 xiu1	tui4 xiu1	退休	to retire (from the workforce); to go into retirement
3166	5	拖鞋	tuōxié	名	tuo1 xie2	tuo1 xie2	拖鞋	slippers/sandals/flip-flops/CL:雙|双[shuang1],隻|只[zhi1]
3167	5	外部	wàibù	名	wai4 bu4	wai4 bu4	外部	the outside; (attributive) external/exterior; surface
3168	5	外公	wàigōng	名	wai4 gong1	wai4 gong1	外公	(coll.) mother's father/maternal grandfather
3169	5	外观	wàiguān	名	wai4 guan1	wai4 guan1	外觀	outward appearance
3170	5	外婆	wàipó	名	wai4 po2	wai4 po2	外婆	(coll.) mother's mother/maternal grandmother
3171	5	外形	wàixíng	名	wai4 xing2	wai4 xing2	外形	figure/shape/external form/contour
3172	5	弯	wān	形、动、名	wan1	wan1	彎	to bend/bent/a bend; a turn (in a road etc)/CL:道[dao4]
3173	5	玩具	wánjù	名	wan2 ju4	wan2 ju4	玩具	plaything/toy
3174	5	完美	wánměi	形	wan2 mei3	wan2 mei3	完美	perfect
3175	5	完善	wánshàn	形、动	wan2 shan4	wan2 shan4	完善	(of systems, facilities etc) comprehensive/well-developed/excellent/to refine/to improve
3176	5	完整	wánzhěng	形	wan2 zheng3	wan2 zheng3	完整	complete/intact
3177	5	万一	wànyī	名、连	wan4 yi1	wan4 yi1	萬一	just in case/if by any chance/contingency
3178	5	往返	wǎngfǎn	动	wang3 fan3	wang3 fan3	往返	to go back and forth; to go to and fro; to do a round trip
3179	5	网络	wǎngluò	名	wang3 luo4	wang3 luo4	網絡	Internet/network (computing, telecommunications, transport etc)
3180	5	危害	wēihài	动	wei1 hai4	wei1 hai4	危害	to harm; to jeopardize; to endanger/harmful effect; damage/CL:個|个[ge4]
3181	5	微笑	wēixiào	动、名	wei1 xiao4	wei1 xiao4	微笑	smile/CL:個|个[ge4],絲|丝[si1]/to smile
3182	5	威胁	wēixié	动	wei1 xie2	wei1 xie2	威脅	to threaten; to menace
3183	5	围	wéi	动	wei2	wei2	圍	surname Wei/to encircle/to surround/all around/to wear by wrapping around (scarf, shawl)
3184	5	为2	wéi	介	wei2	wei2	為/爲	as (in the capacity of)/to take sth as/to act as/to serve as/to behave as/to become/to be/to do/by (in the passive voice)/variant of 為|为[wei2]
3185	5	维持	wéichí	动	wei2 chi2	wei2 chi2	維持	to keep; to maintain; to preserve
3186	5	违法	wéifǎ	动	wei2 fa3	wei2 fa3	違法	illegal/to break the law
3187	5	违反	wéifǎn	动	wei2 fan3	wei2 fan3	違反	to violate (a law)
3188	5	围巾	wéijīn	名	wei2 jin1	wei2 jin1	圍巾	scarf/shawl/CL:條|条[tiao2]
3189	5	围绕	wéirào	动	wei2 rao4	wei2 rao4	圍繞	to revolve around/to center on (an issue)
3190	5	维修	wéixiū	动	wei2 xiu1	wei2 xiu1	維修	maintenance (of equipment)/to protect and maintain
3191	5	唯一	wéiyī	形	wei2 yi1	wei2 yi1	唯一	only; sole
3192	5	尾巴	wěiba	名	wei3 ba5	wei3 ba5	尾巴	tail/colloquial pr. [yi3 ba5]
3193	5	伟大	wěidà	形	wei3 da4	wei3 da4	偉大	huge; great; grand; worthy of the greatest admiration; important (contribution etc)
3194	5	胃	wèi	名	wei4	wei4	胃	stomach/CL:個|个[ge4]
3195	5	喂2	wèi	动	wei4	wei4	喂/餧/餵	hey/to feed (an animal, baby, invalid etc)/to feed/variant of 餵|喂[wei4]
3196	5	未来	wèilái	形、名	wei4 lai2	wei4 lai2	未來	future/tomorrow/CL:個|个[ge4]/approaching/coming/pending
3197	5	位于	wèiyú	动	wei4 yu2	wei4 yu2	位於	to be located at/to be situated at/to lie
3198	5	位置	wèizhì	名	wei4 zhi4	wei4 zhi5	位置	position/place/seat/CL:個|个[ge4]
3199	5	温暖	wēnnuǎn	形、动	wen1 nuan3	wen1 nuan3	溫暖	warm
3200	5	文学	wénxué	名	wen2 xue2	wen2 xue2	文學	literature
3201	5	稳定	wěndìng	形、动	wen3 ding4	wen3 ding4	穩定	steady/stable/stability/to stabilize/to pacify
3202	5	问卷	wènjuàn	名	wen4 juan4	wen4 juan4	問卷	questionnaire/CL:份[fen4]
3203	5	握	wò	动	wo4	wo4	握	to hold; to grasp/to clench (one's fist)/(bound form) to have in one's control/classifier: a handful
3204	5	卧室	wòshì	名	wo4 shi4	wo4 shi4	臥室	bedroom/CL:間|间[jian1]
3205	5	握手	wòshǒu	动	wo4 shou3	wo4 shou3	握手	to shake hands
3206	5	无关	wúguān	动	wu2 guan1	wu2 guan1	無關	unrelated/having nothing to do (with sth else)
3207	5	无奈	wúnài	动、连	wu2 nai4	wu2 nai4	無奈	to have no alternative/frustrated/exasperated/helpless/(conjunction) but unfortunately
3208	5	无数	wúshù	形	wu2 shu4	wu2 shu4	無數	countless/numberless/innumerable
3209	5	无限	wúxiàn	形	wu2 xian4	wu2 xian4	無限	unlimited/unbounded
3210	5	无效	wúxiào	动	wu2 xiao4	wu2 xiao4	無效	not valid/ineffective/in vain
3211	5	舞蹈	wǔdǎo	名	wu3 dao3	wu3 dao3	舞蹈	dance (performance art)/dancing
3212	5	武术	wǔshù	名	wu3 shu4	wu3 shu4	武術	military skill or technique (in former times)/all kinds of martial art sports (some claiming spiritual development)/self-defense/tradition of choreographed fights from opera and film (recent usage)/also called kungfu 功夫/CL:種|种[zhong3]
3213	5	舞台	wǔtái	名	wu3 tai2	wu3 tai2	舞臺	(lit. and fig.) stage; arena
3214	5	五颜六色	wǔyán-liùsè		wu3 yan2 liu4 se4	wu3 yan2 liu4 se4	五顏六色	multicolored/every color under the sun
3215	5	雾	wù	名	wu4	wu4	霧	fog/mist/CL:場|场[chang2],陣|阵[zhen4]
3216	5	物价	wùjià	名	wu4 jia4	wu4 jia4	物價	(commodity) prices/CL:個|个[ge4]
3217	5	物理	wùlǐ	名	wu4 li3	wu4 li3	物理	physics
3218	5	物品	wùpǐn	名	wu4 pin3	wu4 pin3	物品	articles; goods
3219	5	物业	wùyè	名	wu4 ye4	wu4 ye4	物業	property/real estate/abbr. for 物業管理|物业管理[wu4 ye4 guan3 li3], property management
3220	5	物质	wùzhì	名	wu4 zhi4	wu4 zhi4	物質	matter/substance/material/materialistic/CL:個|个[ge4]
3221	5	西餐	xīcān	名	xi1 can1	xi1 can1	西餐	Western-style food/CL:份[fen4],頓|顿[dun4]
3222	5	吸管	xīguǎn	名	xi1 guan3	xi1 guan3	吸管	(drinking) straw/pipette/eyedropper/snorkel/CL:支[zhi1]
3223	5	吸收	xīshōu	动	xi1 shou1	xi1 shou1	吸收	to absorb/to assimilate/to ingest/to recruit
3224	5	西装	xīzhuāng	名	xi1 zhuang1	xi1 zhuang1	西裝	suit/Western-style clothes/CL:套[tao4]
3225	5	戏	xì	名	xi4	xi4	戯/戲	trick/drama/play/show/CL:齣|出[chu1],場|场[chang3],臺|台[tai2]/variant of 戲|戏[xi4]
3226	5	系	xì	名	xi4	xi4	係/系/繫	system/department/faculty/to connect/to arrest/to worry/to connect/to relate to/to tie up/to bind/to be (literary)
3227	5	细节	xìjié	名	xi4 jie2	xi4 jie2	細節	details; particulars
3228	5	戏剧	xìjù	名	xi4 ju4	xi4 ju4	戲劇	a drama; a play; theater/script of a play
3229	5	系统	xìtǒng	名、形	xi4 tong3	xi4 tong3	系統	system/CL:個|个[ge4]
3230	5	下载	xiàzài	动	xia4 zai4	xia4 zai3	下載	to download/also pr. [xia4zai4]
3231	5	先后	xiānhòu	名、副	xian1 hou4	xian1 hou4	先後	early or late; first and last; priority/in succession; one after another
3232	5	先进	xiānjìn	形、名	xian1 jin4	xian1 jin4	先進	sophisticated; advanced (technology etc)/meritorious; exemplary (deeds etc)
3233	5	闲	xián	形	xian2	xian2	閑/閒	enclosure/(variant of 閒|闲[xian2]) idle/unoccupied/leisure/idle/unoccupied/leisure
3234	5	显得	xiǎnde	动	xian3 de5	xian3 de5	顯得	to seem/to look/to appear
3235	5	显然	xiǎnrán	形	xian3 ran2	xian3 ran2	顯然	clearly; evidently; obviously
